Date,Time,X,Y   S,peed  Te,mperature,Diameter,EnergyA,EnergyB
12/6/2021,08:07.8,-17.07,32.75,166,3330,26,1930489.6,1653061.4
12/6/2021,08:07.8,-17.07,32.75,146,3343,15,651622.2,544251.7
12/6/2021,08:07.8,-17.07,32.75,83,3561,14,745587.4,628151.2
12/6/2021,08:07.8,-17.07,32.75,144,3089,31,1825336,1758717.2
12/6/2021,08:07.9,-17.07,32.75,201,3531,17,1105650,943054.7
12/6/2021,08:07.9,-17.07,32.75,139,3010,64,6825566.4,6827085.5
12/6/2021,08:07.9,-17.07,32.75,135,3213,28,1817805.4,1767640.8
12/6/2021,08:07.9,-17.07,32.75,154,2941,17,433557.4,443540.7
12/6/2021,08:08.0,-17.07,32.75,142,3375,13,524854,459735.2
12/6/2021,08:08.0,-17.07,32.75,227,3831,14,1074825.7,792167.8
12/6/2021,08:08.0,-17.07,32.75,131,2987,55,4904838.4,5019195.3
12/6/2021,08:08.6,-17.07,32.75,169,3360,20,1204547.9,1037219.7
12/6/2021,08:08.6,-17.07,32.75,196,3635,14,880831.2,679599
12/6/2021,08:08.6,-17.07,32.75,196,3592,14,779383.2,651306.8
12/6/2021,08:08.9,-17.07,32.75,201,3477,15,890030.7,687502.5
12/6/2021,08:08.1,-17.07,32.75,166,3355,23,1487500,1338658.1
12/6/2021,08:08.1,-17.07,32.75,173,3195,16,540059.7,515328
12/6/2021,08:08.1,-17.07,32.75,176,3647,13,694803.9,594710.2
12/6/2021,08:08.1,-17.07,32.75,163,3352,27,2101005.1,1874300.6
12/6/2021,08:08.1,-17.07,32.75,180,3668,17,1267500,1019124.3
12/6/2021,08:08.2,-17.07,32.75,56,1882,33,122807,183247.8
12/6/2021,08:08.3,-17.07,32.75,166,3086,18,618347.4,591893.6
12/6/2021,08:08.3,-17.07,32.75,176,3151,76,12279798.6,11767280.8
12/6/2021,08:08.3,-17.07,32.75,112,3208,15,552707.5,458490
12/6/2021,08:08.4,-17.07,32.75,157,3399,19,1153427.6,972295.9
12/6/2021,08:08.4,-17.07,32.75,169,3150,23,1117616.4,1074717.4
12/6/2021,08:08.4,-17.07,32.75,173,3482,20,1467480.7,1244198.7
12/6/2021,08:08.4,-17.07,32.75,216,2994,22,760732.7,768730.5
12/6/2021,08:08.4,-17.07,32.75,173,3270,17,770657.1,695915.5
12/6/2021,08:08.4,-17.07,32.75,173,3237,25,1468036.1,1366626.6
12/6/2021,08:08.5,-17.07,32.75,180,3141,15,442853.4,423391.7
